Yakka Opening Book

Total Book Positions = 4444
Total Book Moves = 6375

$000E904E0E062B59, $01000FD7
$1977C4C37F64439E, $01000C35
$198271DF7CE8A29F, $01000F01
$19AF8DADA2CB2980, $010003A8
$19DE36E513823616, $020002D9
$19E3709A1C2EC7AE, $0200001E
$1A54F95DE42A06E0, $02000095
$1A64E0496CBF084C, $0100107F
$1A74CEAECD40ACAD, $02000A10
$1A7C75EF76D22692, $01000630
$1A7CEF862093DB40, $010014B0
$1A8D34020A2ADB84, $01001015
$1A94BD920069C2C2, $01001597
$1A97AC572A2D14CA, $0100181E
$1AB9E52596B2F8F4, $01001026
$1AC0E6DBC857E51F, $01000927
$1ACAE6F1BA8DB36A, $02000332
$1AE3FC97C150991E, $01000BD7
$1B04ED409C489F45, $02000BF6
$1B060888AC142CB7, $01000939
$1B46F559EEDA058B, $010013E4
$1B48F624059B0374, $010018C3
$1B7F2EC2E2D800BB, $01000957
$1B97E3357D277E43, $0100174B
$1BA140560BF78108, $01001599
$1BA54D07FCACBF93, $0100078D
$1BA5B8704789C79C, $010017C2
$1BC13B4E06BB2E22, $02000FA1
$1BC16AB8A683C838, $010018A3
$1BDDE4AA1E288E3A, $04000767
$1BFDC4F549F02332, $0100069F
$1C0589215BE54AD6, $01001622
$1C2687945CBB5FEC, $01001466
$1C299DBA56F81238, $010005B0
$1C36B2ECE0C1BFE6, $01000908
$1C3F1B699D233DD3, $0100159D
$1C4EFC4F85BC3DFC, $020004E6
$1C5420510435E961, $01001304
$1C655326C58A5971, $01000915
$1C75C508808CB501, $01000E69
$1C98A94EE69FC3C8, $02001367
$1C9A197F998AE9F0, $01000E58
$1CBCA5D4C1E9DA3F, $010016F0
$1CC190A106B9BE79, $01000B12
$1CC3A333D8EE0D47, $01000932
$1CCB4D914D537B8A, $01001856
$1CCD2161FE504AEB, $010011FC
$1CCDC27D9B319515, $010015C3
$1CDAE332DBD660D9, $02001148
$1D06D0DF410CCFEC, $010011FB
$1D11A7F3A5B8AECA, $01001497
$1D1BED48E5CE0C8E, $01000571
$1D26C6FDDE8094C2, $010017C6
$1D341104334EB8DB, $0100035B
$1D5526CEAA92BBD5, $030001B1
$1D5DB752FD2D5F5B, $040002C4
$1D63E05CA7A257C3, $01001490
$1D7F820F8B5A9826, $010010B8
$1DA9DD22F979B37A, $03000029
$1DACA6AC76748442, $010017D8
$1DB679017A111890, $0300072F
$1E0C8D664C650A9B, $01000D34
$1E0E8A688CD0D51B, $010015BE
$1E39C7CFF6FB12F7, $010017BC
$1E406EEE8EA45933, $01000CA5
$1E4567D0B7D53287, $010008B1
$1E54AF066C9F0C6D, $01001896
$1E5A20436F31BED8, $010013F0
$1E876DDACBE4306C, $01001546
$1E8BFD68CFDE7347, $010013E8
$1E92621E9DC4EE9F, $02000A91
$1E9700B7A5F00620, $01000BF8
$1EA2704574B0D11A, $01000B63
$1EAC29C6F3AEE55C, $010009EE
$1EB595435C362516, $0100129B
$1EBDC39FC064B52E, $0100138B
$1ECB21D476301199, $02001122
$1ECF65675AC2BC8D, $0200066A
$1F11C4599B8E197E, $0100174E
$1F129D2E528F70E2, $01000FE6
$1F3569F8F413E9F7, $02000943
$1F43BC051394BDCD, $0100179E
$1F5317532A8520D9, $01001644
$1F77037817D69DF5, $01001356
$1F870DBA20D6EFEC, $010010F5
$1F877A451CAB188C, $03000017
$1F994B700551FD84, $01001814
$1F9FCD1B26B3BA55, $0100119C
$1FA8DE68BED8BDC7, $01001845
$1FBD174785E85071, $01000E05
$1FC7CCA8902F07D9, $01000468
$1FD71C17E93F2519, $0100186B
$1FD7DD4E8FB34E2D, $01000AE6
$1FDF422E8C73F72B, $01000354
$1FDFC9E7B3E97CF5, $02000C8C
$1FE76FB8399595AB, $010007AA
$1FF7268D9AAF7CB1, $0100147F
$1FFA82048D0967AF, $0200108B
$200A1C4FEF2ABBB7, $05000226
$200F1BD89EE3464D, $01000DE4
$20106C139F4FC310, $020014D2
$20150A2DCEAD62B4, $01000C50
$2036F31A3B91FB3A, $01001424
$20448932AA0A68E5, $010013DA
$20598A369AB1F95E, $01001802
$206D948A1F563192, $01000E0F
$207D6DD4AF53D26D, $02000693
$209DE1D309711562, $01000FE2
$20B28659BC883641, $02000A72
$20B2CE04E3F7F742, $0100074A
$20BCB8CEAFD3F000, $01000C1A
$20C7A8B7DD10A016, $01000383
$20D6916B4964DEA5, $03000538
$20DA69EDB3A80D17, $0100169F
$20E056E7EBC340A2, $01001715
$210430E842F48AAB, $02000E01
$211C7A683DF59635, $03000179
$211D3383C9AFD6DB, $0100126F
$2126631F73DFB561, $01001076
$212A89F0D30F78E5, $010006E4
$212B50AF77F63708, $0200075C
$212FF4377A15F053, $040003BB
$2154DCE82E308157, $01001070
$21599BCBAD72FFD8, $02000AA0
$218C95342E3F699B, $020014A9
$218CE2076FDC7C01, $01000A94
$21B33A43CAC1A0B7, $01001542
$21D4E34734B8C8D4, $010009EB
$21E1EE11D4948BD8, $01000FB9
$21F221A304395D14, $03000E9E
$220AB57097CC14F4, $01001377
$2212F884BD8A748E, $01001382
$222AA0C746B02955, $02000BC7
$22383EA9116A7B83, $02000F4F
$223ACCC4EF1F3B53, $010012F2
$223DCCA53652E3EC, $020004DE
$224F277B290C32E2, $010005C5
$22516FF58F676714, $02000450
$2279E330BDD9CA51, $01000800
$228E4062DCC87C7A, $01001226
$229C8B686495F9C0, $0200027F
$22ABF3AFC5F1577B, $0200035D
$22F53F79004FA3CE, $020007D5
$230767730E95DE1A, $01000977
$230EAEF6CF2DF33D, $010013B5
$2315349C56A6E32F, $02000B3D
$233CF78972140569, $010016D7
$233E6E1C9489CADD, $010014D7
$2350F785A40F35C1, $01000D89
$23514B38258632E6, $01000567
$2362FF34211F960F, $01001133
$2367084A02E320E5, $01001113
$238641A5B3EE61D8, $010010D0
$239442F8AA0E0D25, $01000B2C
$23B4164D28AC17D2, $01000920
$23C755E1AFEAC970, $01001621
$23C8197B87032802, $010017EA
$23D2CD6EE7936C77, $03000683
$23ECE2547327918C, $0100062F
$23EF6E08F1757DF6, $010017E8
$23F5072A9D1DFC14, $0100010F
$2401AD1B16181279, $02001254
$243E1665A10FC52C, $0200074D
$2440449BAC469787, $01000E46
$2464B24D99ED1DA8, $01000FE4
$24940FB1A426D7CE, $010017E7
$249C98E895282BF2, $020014A3
$24A62D865355BF85, $0100146B
$24A69B096FE755EE, $0300144C
$24A80FB9F73AC813, $010017D0
$24AEBCA2F2677968, $010008F6
$24B2CFFE02AD5EC7, $030003C3
$24D506F99D912278, $030006D7
$24E5166C91DE49D6, $01001223
$250D842DAE8C8084, $010012DB
$251FCDD966FC2A32, $03000772
$253CBC2A38D62764, $01001116
$25496D150CF70C2F, $01001570
$254DA4B877DA829B, $0100081B
$25502746A6E7265D, $01001611
$255799A7DDD14946, $01000C34
$255C4469F0BA0ADA, $02001630
$257D6242088A4BA5, $010006F5
$258588B81D0771B5, $010005B7
$25A8241FA6E2BA4D, $01000574
$25CBF6D521FDCEE9, $01001176
$26050B5BF61573F4, $03000804
$2607EA0BB923EACA, $01001355
$260B4E5C6DC8246E, $0400009A
$260F8CACB1530221, $02000662
$261CB451EA628681, $01000E53
$262EA65AC928C20D, $010017CB
$263C369BCCAC8AD5, $030000BD
$26604B2420E56244, $0100099A
$26726A974E1F9003, $01001440
$267482DEAE204788, $01000F65
$2679399057C537CC, $0100123E
$267FC1358A5EA2A3, $010003E9
$268409A4F12AC25E, $02001882
$268BE83C1A6B4EAB, $01000D64
$26955630F2B36384, $010012F6
$26A3D6F0050AE92A, $010015E5
$26A882C2AFE60EE5, $02000E87
$26AD856BAC3DB853, $0100073E
$26CC94825AE55B63, $02000CF9
$26D4C72D3A70B41E, $020016BC
$26DC31AAC8B616AF, $03000CDC
$26E15E1720A623AF, $03000362
$26EFC35C6EDC44A6, $01000B9C
$2712CC4C59B8C9BA, $01000EF6
$27132C9A8021573E, $01000BBA
$271DF002D81F9395, $0100071F
$271ED713302D19C6, $01000C81
$2727178ACCCF0612, $01001862
$272A9502AE4A268B, $010016E3
$2730C67CFB4F0B45, $01000F59
$2730E215B743CFFA, $010008BE
$27313A6211B816F3, $02001322
$274BBF46D9CA0BFD, $02001284
$2755BAD935248F01, $0400040D
$2783F3277356A592, $010006FF
$27877CB42A51772C, $02001523
$27A35F8463C46BB9, $020010AF
$27AA485ED72D47BD, $01001325
$27B7128E8A9808DF, $0100183A
$27E1F54FF1EF5FA7, $03000044
$27EC8125921A66A1, $05000405
$27F26022DB1EF5FA, $010018D2
$27F8380F7BE53BFA, $01000CA4
$27FB3A383F524CBC, $010014FA
$2800D2FAAE18B285, $0100036A
$2817A35CFA04BF05, $01000B06
$28301243E100A601, $01001353
$2839BC2577046345, $0200113B
$283F605A3E71F9EE, $010013EF
$28464AE43D9AAE32, $01000DF1
$28487ECAF8393D1E, $040000C6
$285397045AE9AD89, $01000C83
$2863D970D58166CA, $02000640
$286B48EC823E8244, $020004EE
$286F8A1C5EA5A40B, $04000035
$287B9D646C7B937A, $030014CF
$2883412058BD43F0, $0100153B
$28859A5713CBA3CA, $010001F7
$289371F00D4EACA4, $0200020F
$289507B12F5A3F39, $040015A8
$2897D64549AB4BBB, $010012D3
$28A9F8B1A00E6B38, $02000F54
$28ACFB29237A18BE, $010009FD
$28BA25B7C7BAB5F6, $01001813
$28C0E22B7F646656, $0200117A
$28CCFABFB1BBFBED, $010015AE
$28CFE38C293EF12F, $0100130D
$28DFFD41EBC91FD1, $020005EB
$28E03DD937A50ECC, $0100130A
$29168A4FA0D59671, $020004AE
$29190EC9E8819A31, $01000F95
$29294BFD164769D9, $01000E15
$29317E9906490F64, $030000BA
$2943397375AE432B, $05000A77
$2966D716D9E58D35, $01001894
$296B20060762E495, $0100174C
$2974509D718B2222, $010008DD
$29A5611F2A34EC9B, $020008A4
$29A6495858549517, $010012F7
$29A85E42D4B51240, $010018D1
$29EB1CE6A9B988CB, $01000C9D
$29F436526F1AB03F, $0100076E
$2A0307653E974BD5, $02000BB6
$2A185E0DF05076E3, $010010C6
$2A1E27156BF6E000, $010017BA
$2A1FCB07CB05C9FC, $01001776
$2A2870480DE11665, $01000EDA
$2A2A94A3D00241F1, $010002E5
$2A37885D01DC544F, $0200093D
