Yakka Opening Book

Total Book Positions = 8507
Total Book Moves = 12184

$0005708FD29B49F4, $03000B91
$04DA14B4AAAC2515, $02000AB1
$04E7EE01E7B3494D, $010019C4
$04EF77B976D1F46A, $010018C2
$04F0FCD1250FEB11, $02000D1C
$04F5250DD8BFE657, $01002A55
$04F80E5209EF28AE, $02002E16
$05003F5421EAE695, $01002E14
$050EC26EEB21A415, $01001B51
$0512589F31194C92, $010028C9
$05196E8C439728DF, $010028AE
$051A59D61AFAF829, $01001C0B
$051DBA41E9E5BE74, $010028AA
$0536A0D0C1432DC9, $01000D61
$0538DDA3B8643E06, $0200226E
$053ACD0AC2671601, $03000D0C
$053B66FF81638E50, $01002DEC
$0541D5A99FF6A72C, $0100233A
$05498CD1E92F716D, $02001BBA
$055102BEB8D75787, $01001132
$0553C7743730F7C1, $010028FC
$056293BD555399E4, $01002D01
$056BAD5B4AC47A3A, $01002DC2
$0582CC9D0BA1D861, $01002948
$05842846200F8075, $01000E95
$0587A0144B38A1AA, $010027D5
$058BE2DD06881A87, $01002090
$059520A6C3E6096B, $010015D0
$05967E2F112A4B35, $01002625
$05999B4872040AF0, $01002F15
$059D5A2B74BB6084, $02002E09
$059F3C6ABC74AA96, $01000BEE
$05ACFCD104CA8622, $01002EA6
$05AE591CCCD067FC, $01000E83
$05B4E89C9A89407D, $0400283C
$05BACE5271C64D36, $01001B0E
$05C5386CB7D7AC43, $02002E85
$05CE69F5C921AC12, $010007B2
$05D3E2A42659F735, $03002480
$05D51F935F20CA58, $01001F54
$05D7B61BB2952BB9, $01001608
$05DAAD5C5CE9E96B, $0100099C
$05E81D89491B35A4, $0100206D
$05E9DDDF9506644A, $0200244E
$05EDBFB8204E0B46, $01000D84
$05F2543ECF99A0DF, $0100119E
$05FEAEF129AB40DB, $020019AC
$0601045870CAAC55, $01001894
$060871DC9EB4D2CC, $02002629
$061BE2BDED9FC18E, $01000B1C
$061C0C2421FB7049, $04000951
$061D56BEFCE0D29A, $0200149F
$0633523E301767BC, $01001FFC
$063B93FFC6E5899C, $0200012F
$063E910F6C90A4D3, $0200106F
$064D12B6CE38BBA2, $01001311
$0655313E5615740E, $010015EA
$066489A73E5C9B46, $0200078C
$0665740AA8D387E6, $020018B1
$06753374C83B5E07, $02000295
$0679989587B6C116, $01002D26
$0686441D5CA75A0D, $01000719
$0696D8A3BE079DC5, $0100108F
$069D88D723577095, $0200293D
$06B7F4CCF55789DF, $01001DA4
$06C7C1765181B4CF, $01001D18
$06CEED42E12C72E7, $03001387
$06D4C0BD95CC5E2C, $01000197
$06DC178C52136ECB, $01002D00
$06E0156C92170BEE, $01002F35
$06EA15E9627A8BE7, $01000E13
$06F9EB30A5EBF247, $01001497
$07314BCAE5F594B3, $02000A5F
$0732E024AAE28866, $02002663
$07381703A33EFFBE, $01002CA2
$07399813F7B3BFA8, $010013C5
$073A30277DC8B3E5, $010015A5
$073CAA67C8EC778F, $010002DF
$073F81B3D50AEA36, $020017B5
$0742BAE66A5A5408, $0100272D
$07431A997E23E439, $010021DF
$0746C59AACBA8B41, $0100142A
$07473C01D9973C59, $01001AD7
$0748B417F0AB0DF4, $01000A66
$074C16494454AF64, $01001334
$074C78BD374CBDE3, $0100218B
$0752035496ED9C03, $01002811
$075E132C1548823D, $010000F8
$0762B0B5B91DF757, $0100207F
$07696BEBB42C2C86, $020000F9
$07754F4CAF22473D, $01001A84
$077AB785C09AED9D, $01001FE2
$07A8F0A0F5788B75, $01000D39
$07B8E582F3DD8B5A, $01002775
$07B9BCDA667BE744, $01002EFF
$07BC2F6E0AD08488, $010026D4
$07C2104C34864831, $0200291E
$07CA50A82A6C098D, $02001B0B
$07CE6ECABDABE9A8, $01000C25
$07E42505E4E9A72F, $0100100C
$07E56C78BB93F6F2, $020023E2
$07FF3BE318EF5E27, $010024CC
$07FF7BD3CFB3230F, $010025BC
$0800BD5A42E56B2B, $020014EE
$080D7002D87125DF, $010025AC
$08120CC5C456D700, $010019CE
$0816CF5665F63D44, $0100258A
$081EBB4D8E42DF19, $01002F52
$082F839EDC433C22, $0100188A
$083C1B82EE114690, $05000219
$0844BCF0C93DD1F3, $010008E3
$0849FE2C3F241C35, $0100056D
$0859B62D39B120E9, $0100098E
$086CC2A863A6A0AD, $010007E1
$0874D7539ABC120D, $01002ADD
$0876C40A5D4911B2, $010026FD
$0888572192A68274, $0200204E
$088D70FE2D7702E3, $010007E0
$088E1AE19B4CE82D, $01002F2D
$089E7265EEC42A45, $01001073
$08A08CE22F2F3257, $010026B5
$08A2C86758076BDF, $0300049D
$08ABDEC7E1EE8D49, $0100079D
$08B46F4F0A6050DC, $0200192C
$08C463BBCE426579, $01000A76
$08D44A8857747DE3, $01000AF6
$08D5413C02668E54, $020015D6
$08D6DFB18FA51256, $050017D6
$08F3710D29EB7C1E, $01002CA6
$08FD4F7E95E7201F, $020006C0
$0905435317972A1B, $02001E41
$091AF73446F6DB01, $01000864
$091C31E760B77F93, $01000E3E
$091F4242CC0F6933, $01002169
$0921EE9AC08B2A9E, $02000A0B
$092A5B7D21DD35F6, $020000F6
$0930A2DBB3B1CBA6, $0100262E
$0931D42C3B2DC7F9, $010001F4
$09371E865BB23C14, $0100215F
$0944044CAFBA3A08, $02002B61
$094C5470AFD08F9D, $01001043
$096598D3E6ED62C2, $01001CE7
$096620F1EC0B2B56, $010024A4
$096AE9E09862FEA2, $01002865
$0972051B585EC6A6, $03001406
$0975812FB3045617, $01001A90
$097961573A2F27FA, $0100150D
$097C87CD0E14E502, $01002C45
$0982B0B8D6D57E01, $01001994
$098902AE70D671C4, $0300054D
$099440A8FA53D2B4, $01001FA5
$09956E2F2A7CC5C8, $01001D0F
$099727B9F171F699, $02001DCC
$09977D840CD4BF66, $02000332
$09B18E9FA73BDDE5, $010022D5
$09B3E4A4D2FF7870, $01000A68
$09C37BA1C9ACC4CB, $0100166A
$09DA94AA2AB4E166, $01001D88
$09DCA32F41D38B62, $01001CE6
$09DFAC334558F4FD, $01002680
$09EA2FDCAC456CDA, $01002E57
$09F78C710DCB53E3, $01002146
$09FDF499BC99ADFF, $01001002
$0A08760312AE158B, $01002BAE
$0A0B2E8401427F9F, $01001D3A
$0A0E274B82FA2C02, $02001CDD
$0A1199F4E7446862, $010028A7
$0A18ABAF5C2DC3F6, $0100273C
$0A1CBC525100BE81, $01002F07
$0A203EAAB0E8170D, $0200273E
$0A23366AE53ED6CE, $01002185
$0A25DC686BA6144F, $02000CC0
$0A3517D64CA511F8, $01002565
$0A468D22590DF1F2, $010012D3
$0A488F8D90CE081A, $010008BE
$0A49C08788B8C3AC, $010016E4
$0A63DDB1209C326D, $010020B7
$0A6ED4B6820F25D0, $030021EF
$0A6F7F48C5AEE12C, $020017B2
$0A709603C3559E8B, $010022CC
$0A7EB3FB7CC7240B, $0100064E
$0A8D1F526A133E28, $01000D0F
$0A8F9E712418F852, $01002A20
$0A918BB46E6C937B, $01000BFA
$0A91B90819C9BB66, $01001D19
$0AA094C5D6750500, $0400039A
$0AA707F2200D3E1A, $02001CB0
$0AAC5F71DAE9F6F8, $0200228D
$0AB1F0C04EF65E2D, $010019CB
$0AB67F62C8F00A6E, $0200034C
$0ABD35E836F46C56, $01002CC6
$0ABEEEFE9F4FEEE0, $010001EB
$0ABF400F3555407A, $01000F11
$0AD12D480A4DF40F, $02002BE4
$0AD37E183A78413D, $01002F14
$0AD55D52AE4E26FB, $010029B7
$0ADD147DE697DC82, $01000F7B
$0AE3104162F1F3F6, $02002BAB
$0AE6D44EC7A98FE3, $03001ED2
$0AEE3362AF1F14E0, $02001278
$0AEF7075B596568A, $0300160B
$0AF9958C0EB35004, $01002733
$0B216AC8A4E17E9C, $0400066B
$0B2829BEC8EB84FC, $020002D7
$0B402619F7837901, $01002CC3
$0B447B9567F6BEEC, $01001401
$0B4FD70189A77ED9, $010011F4
$0B6E5CDCB31272E5, $0100200F
$0B6E88048C016D71, $060002D1
$0B756CB04D1D616D, $02001028
$0B778C7FF0B89473, $010024E9
$0B7B58C31C241BD9, $01002AFC
$0B7DD7D8564A0FAE, $03001E72
$0B80111D954C72CA, $0400128D
$0B8D67235CDDD11D, $0300117C
$0B996CAFD18C5401, $01001E08
$0B9B388C0CFEEE94, $01000499
$0B9D879000FC5EA1, $01002DDB
$0B9E49B4B5E9C9FE, $01000B45
$0BA81D43802CEF6D, $010020BD
$0BADA5E3E7DE8C47, $03000981
$0BB450477A68DA9B, $01001BE8
$0BC132C0B99720CF, $010017C5
$0BC318AD5D2756A1, $01000474
$0BD04D6A50E6117E, $0100195E
$0BD2C661B23564BF, $03000D2C
$0BD4757AB768D5C4, $01002BCE
$0BD7B1E9E6538942, $01002051
$0BDB5CA3F57C1E4C, $02001A9F
$0BDC9AB76191EBA3, $01002D4F
$0BF37CDB07D63CE0, $030009DC
$0BF92EDE6738FF86, $010023C8
$0C0CD1C0247D2EF5, $010002CD
$0C1F78BECF0B4EB2, $020010A0
$0C217A184A50E8DE, $010029C4
$0C33D25A2FC7FA9F, $01002AF5
$0C47A94BB35FA43F, $01000466
$0C4BB86A1C23111B, $01000908
$0C4EA7A5A0EEBA72, $03000825
$0C58A13A578938C0, $01000A19
$0C60AFA140BD3FF8, $01002DB0
$0C68A806FA265463, $020013F2
$0C6CE75087C7EF95, $01000C81
$0C7DA5E671CE3382, $03000393
$0C8AD5C35FCE2ED5, $03001696
$0C93AB9D0EEB4331, $01001C1C
$0C9B1C2E64330238, $01000C61
$0CB463B8C75135D5, $01002C13
$0CB47251A47A0A35, $01000E64
$0CBD1633A0822677, $0100012C
$0CC49E1AD6F0DA22, $05000386
$0CC8B1A9A59E6670, $02000425
$0CCC07AE2B99AAC1, $01002838
$0CD04AA47B0AA650, $04002812
$0CD2FAE68E31374D, $010026C0
$0CE234E7F464EFBC, $0100152B
$0CE8383BEA5C10F2, $010010C4
$0CF7B1CCD0B3288B, $01002C37
$0CF91A7E9BC21FF8, $0200201C
$0CFAFF3020FBAA3B, $01001350
$0CFB61422DD187A4, $01002B5D
$0CFD5730693096B2, $01002F4D
$0CFF070CF05F1CD6, $01001E0F
$0D18EAFE4B9C2CE1, $01001346
$0D251094E6FA7080, $01001734
$0D29BF5DD8EF02D1, $01000202
$0D4348E9C3A93C11, $01002643
$0D4C60C740890B7A, $01002CA0
$0D54CAE56866BBD5, $0100208C
$0D555DA0A9B8D572, $01002098
$0D56DA0406E23482, $020011DB
$0D6171DC3AC1954B, $01001BFE
$0D62E6A190B94AF9, $01002396
$0D6E695C91A94502, $020017CA
$0D71BB15C53A7E5B, $05000CDF
$0D82DE4553C7AF14, $01001661
$0D9B68652621CC50, $01002D7B
$0D9D4C7A95A81906, $01001DBC
$0DA4459E394A7D8A, $02000A8E
$0DA5939AD222897B, $0100213A
$0DBC655C3A1DA4E7, $01002ABD
$0DCF7B0F01422DE6, $01001891
$0DF23AA19C9A61AD, $01001E11
$0DF532797EA167C3, $02000A02
$0DFA4A9A7A9FCCA2, $01000DD4
$0E0029367E4C7615, $01000075
$0E02DD55B024A380, $01002613
$0E0D227FC0AD3516, $020013ED
$0E113220D40C8BBA, $010026D9
$0E1C6CE7FAB41DA4, $03001729
$0E2DF4F33FA1C317, $01000568
$0E2F057020068712, $01001ED6
$0E381133625917BF, $010007A6
$0E3DBA57B0427876, $01001857
$0E41F3831F78034D, $010024ED
$0E47B93EE97C010B, $03001192
$0E4818AB074E282C, $01001DE3
$0E4BC3EBE789D41D, $01001663
$0E4CD401C0A9983B, $0100074C
$0E4E1ACB2CC6AD0A, $010022B9
$0E50B3229B6EDA3D, $0100123C
$0E52E4A438C58319, $01001C11
$0E542C703AFDBBA4, $0100262B
$0E572A6C37A42ADF, $03000A92
$0E60D365CD019B42, $01000DA1
$0E62907DA3E883A7, $020002E2
$0E68EB841CC9C3A1, $04000D70
$0E6F7FB06D75D569, $01001929
$0E8C9C7AED5BD2D4, $01001B1A
$0E8D0C30D2043112, $02001885
$0EA0D27ACCD8FA61, $02000837
$0EA36554559AE25B, $0100240E
$0EB197506E82A551, $01002E94
$0EB8A6C77DB847A0, $01000337
$0EBE8CBD3EF92A80, $01001660
$0EC37929F863D28E, $0100261C
$0EC76C344F52E907, $010029E4
$0ECF40808A93BD60, $010024E8
$0ED0446F5845F54D, $01000C2A
$0ED53A20CA56FC76, $01001B5B
$0EE0FD006D293C1E, $0100136F
$0EF52D432072855D, $01001924
$0EF599BEFEB3F5F0, $01000AF1
$0F00713D5B650F7C, $01001A98
$0F00A55C9DDE85A4, $01000F54
$0F04C1D03BA117FD, $010015FA
$0F0EB6C5DC29269F, $01002AF4
$0F1A03C2BEBA49B1, $01001476
$0F1C810C7842C04F, $010028AB
$0F291EF4C07A19B4, $01001962
$0F373C3419733640, $010014FD
$0F38F3F1EA587532, $030021A6
$0F3BA116E8CB593E, $02001829
$0F42363E4AFF8461, $0100089E
$0F45B51357DDF3EB, $010025BB
$0F483C0AF8C3CB3A, $03002DF0
$0F4E51A22158EAD4, $030000ED
$0F51436A5AC2B2FF, $01002BFF
$0F5D785D8552CFAA, $01002A35
$0F5DCFD46BDCE853, $0100216F
$0F5F1D4A942DA12A, $01001BA1
$0F67B27A4EBA0A9C, $01001664
$0F722FB1643C1217, $01002B0A
$0F7D3EA47F389DAC, $0200224C
$0F99C09E856B6AE7, $01002591
$0FA6CD739130D7A1, $01002F01
$0FA8D236AD92A5DB, $01000444
$0FB13A7323E2A71A, $0100264D
$0FC268DED1658109, $02001576
$0FC3BC632BB7B361, $020012DE
$0FD0267F76E32DEA, $0200139A
$0FD3A41DB0013CE2, $02000A4A
$0FD41CFA6D7027A0, $01002997
$0FDCA1CF9A8F1847, $01000A1C
$0FF1B0EEC0A87FF6, $010024A9
$0FFAD0FFA82CDB35, $0100171D
$100727D2E3353699, $02000828
$100A448FA8FC74F4, $01001FA1
$101146A9DBB01E37, $010026A9
$101FE199E814D209, $01000DB0
$102E86B3B8040709, $01002879
$10329E2BA015EAD6, $01002C7C
$10553A5825EDE204, $01000CE4
$1055EF81D92F52C4, $010019CC
$10566A17CB329150, $01001323
$105AE8D0D1227B6D, $01001FD8
$1066331D44A9E9FB, $01002D91
$107D4EBBA7E499A9, $01002A83
$10815E96B27D0C6B, $02001F7F
$108C48AAA4E2F195, $05000A41
$10A27C2B4AA01E1C, $01001F39
$10AA8CE5D7C2A82E, $010026C1
$10D5235368E59E75, $010026B1
$10D832D1EEFCF81D, $01001E60
$10EAD71153ABCD91, $04001756
$10F1308E1A83785B, $01002276
$10FA65E80E487257, $0200155E
$10FC5256C6AFE481, $0100161B
$110A0C682ADF0C35, $02000B09
$110E884317EE55B1, $01002829
$111C1720360DB014, $030012B1
$112434D1652B69F5, $01001823
$112B50E73403A02D, $0100177D
$112E244B2BB65A5B, $0100203B
$114015BD78790702, $0100288E
$115D64C5DDA1A2B0, $01002ECF
$116321AB5C0B6126, $0200280C
$1165C26C5235B5FF, $01002183
$116F387A7BDD6496, $01001B4E
$116F951C972332D9, $020027F7
$1175901EDE4D9E29, $0200230D
$1185346B700DB9E3, $01002588
$11855EB1756AC22A, $010010C6
$11968F7F1D32FD4E, $01002D6E
$11A89628D2635B86, $02000F4D
$11A8F1F556D637CC, $020022D1
$11B68A95D1859047, $02000DE2
$11BE3E81D789F66C, $01000195
$11D720754B764C98, $0200193C
$11D9E1FA1B94437D, $010018B9
$11E538929D4B2305, $030016E1
$11F1AF885AB842DB, $010024DC
$11F7E25458C9DB26, $04000518
$120DDB19FFB5ED46, $01002AA1
$121C7DFC129F6BDF, $01000C0B
$122DD5F5766D4542, $01001FA4
$122F279888180592, $0200181E
$123403C140CC690C, $010019DB
$123AF4200DD878DB, $01002AC6
$123E9407073DA503, $010024CD
$1242B6459CB64DC4, $01000C5D
$124A8193FCC0086D, $01000995
$124AD3C50F9F34AB, $030021B2
$126902AAD2EB8633, $01002065
$126BAC4A11226B78, $0200247D
$12759B46F6D091BC, $01001171
$128548E2BEC33DD8, $01002A8F
$1290A1B5AF090240, $01000BAE
$1290CEE7DD45F6F9, $01001D77
$129AAE03C43F9C10, $01002742
$129D98AE3259025C, $01001224
$12A42D41DC6116E8, $020002BB
$12A85F8BEDC2E663, $03002C9B
$12ACA6981EA88D14, $01001490
$12BB045FB5953A3B, $03001AE8
$12BFB3899514B95D, $02001883
$12C09CBC6326FC9C, $01002D8C
$12C13D459973DD8A, $01002C89
$12C5D8848BE1E99D, $01000FAE
$12C5E3B706E8FFB6, $0100235C
$12CC0C153838BAB9, $010006A2
$12DB5AD0C1BC7FAB, $0100273D
$12ED8DA7196E62AD, $0100201E
$12F03729A22A836D, $01002ECA
$12F915A4CBD3584E, $020002FC
$12FCFC7125BA057E, $02002CE7
$13091A67A4453C29, $01002BEA
$13119157C68A55F7, $03000772
$1313EFD94482C659, $01002404
$1316E4C0841793D0, $010007C8
$132BD63264B7A612, $01001E0D
$132E944C73233413, $010010DC
$1338DA08ABA39CC4, $01000E6F
$13392E0B929D8394, $020003B8
$133B3D958D5392C0, $01002F12
$134534733A4F9281, $010025D9
$134C578D129A230A, $01001445
$13561BC8CC936514, $01000AB3
$135A7F00274767C6, $01001B74
$135CE90B0FABA51F, $04001288
$136950A92F3D0026, $01002D05
$1370117B9B915EF4, $01001BBD
$13717E7CA3860A2F, $01002188
$1375E605B86DE81E, $01001BFD
$1377979F11FB2E02, $01002B2E
$138E85E919E98FFE, $010005E1
$139099E6325B5D9A, $06000116
$13912F9464C3F133, $03002AE7
$13A25B67301CC6C8, $02000D2A
$13ABEDB0B91AFD54, $03000495
$13B8A8F39D5DEAD7, $02002B83
$13BE7850890A380D, $0100180C
$13C2B9ED1158B3DA, $020004A3
$13CD7A22793D8587, $01001355
$13D02F0BBEDF42CF, $02000187
$13D2792FF557E0E6, $01002B8D
$13D4827A8956D021, $01002306
$13E7A8D63BC94CDE, $01001F0A
$13EA40E4DA0FA770, $01002E52
$13EBB7C8B4D539D6, $0200184A
$13EF7A06B688144B, $020019BD
$13F45CCA5E2D7D0A, $0300187C
$13F7393C8125F7F5, $010018EA
$14095B5DEDCC5C75, $02001D7D
$1409E46CCB339681, $01001EAC
$140EA43BA901CEDF, $02000217
$141F6391C768147E, $0100140C
$1426D48DECB3FC9B, $02000625
$142CB1B5DE8CB12A, $01002F93
$14351C6C42EF8C8F, $010007A5
$1435CAA1CF351F1E, $010011AF
$14371967C53FA1A1, $0100267B
$143E580ABFF65CE8, $01001417
$14423B2F0E3635B3, $010003C7
$14442ECAD675F280, $01001C91
$1446FE483FFEA35F, $0100254F
$145CB2A6A41B1521, $020001F2
$145FAB57E01E59ED, $0100104C
$1464E7A6426EA15B, $02001086
$1467BDB35DD2BE75, $01000C9A
$14697D31E0CE1A66, $01000517
$146AAE8EEF203085, $010023F8
$146D17761DCBF35E, $0200097D
$14836BF249BE915F, $01002B15
$148B81D90C5A55E3, $03002363
$148E5930B39BFE4C, $01002ACC
$1490921323AF7F27, $02000FFC
$1494F31E6D8CB4B3, $0100229F
$14A0C2C2E89516BE, $03002DA5
$14A9CECC091CFE1A, $01001527
$14B14AE814ED86CE, $010010C2
$14B18238F6952BFF, $0400229A
$14C3DF0D68128F66, $01001822
$14C836F66D100EF8, $01002F57
$14CF3F70E855692C, $01000916
$14D555A0266D9BF8, $02000725
$14DD47CC9C395CC1, $0200077F
$14E6902390846774, $01002F2A
$14F7951A807D6D8D, $020025C3
$14F87D5760AB1D97, $01001EE5
$14FEE76BBC90891E, $020029F5
$1502358DD596B310, $01002F23
$15192A4940E78966, $01002132
$151B3459AB9A3F08, $01000E5A
$151E83727FB08579, $020006DC
$1520E80185BFA1A0, $01001252
$1529FBB5DED42BC2, $06000550
$152BF305DC1250F7, $01000D63
$152DF1A526F02B59, $01002754
$1535B90CACFD3967, $01001E8E
$153A605210E15189, $01001386
$1545FBFCD5B5C3A3, $01001BE6
$15473E773F95584C, $010026F5
$154FFB1C457FACBC, $01002C79
$156520C9524FB03E, $02000745
$156604D72BC26246, $010015D2
$157D35757BA81C9C, $02002046
$1583670A99BBB8BA, $010027C2
$158D6F80D17F20E4, $0100161A
$1590900982BCABF5, $01001580
$1592E9DC2F63D334, $01002679
$159546B3464D7703, $01000847
$159590D1D2F7FA03, $01001560
$15A5FCD98AEADC49, $010020CC
$15A76F75BD06FD6C, $01002EC6
$15A9462B290B4FF6, $01002562
$15B425D4BE5A9DED, $03000184
$15B91BF3A6588B44, $010010EA
$15CA46C33832F3AA, $01001C5F
$15D1FC22F945F2C1, $01002540
$15D2C73F489D739B, $010025BF
$15DAE3EBAA61BE66, $01001C59
$15DBF1FB04CBE60B, $01000C56
$15DD328F44949319, $01002BC1
$15E01674B241D03B, $010007C7
$15E2A7A8CA6A6B7C, $01000895
$15E41F283526B516, $0400032A
$15ECA906EA77E762, $02002C93
$15F579ADC0E36EB9, $010026FE
$15FA9E447BDAB629, $010000A2
$160113296B89B5E4, $02002EE4
$1612126A6F670DE5, $05000B89
$161D4A709C8411C3, $010018F5
$162900BD90048B0D, $02001167
$163172AFC06EC97D, $02000BE5
$163E54838D9FBC71, $010022AD
$16451F693C2BE9BE, $01000DDF
$1647756BFE0C2B35, $0300029B
$164EEF9D0BE115EC, $0100275C
$16535FFE3F7C1733, $01001B34
$165511210D78FE8C, $01002556
$166081BD5890B220, $01000A6F
$166A12601E15A3AF, $030008D0
$166B964C58226384, $01000F58
$1670DF3173DDFAE5, $01002C4D
$167626E9AFBA2296, $0100131C
$1681ACACE5E3A9A4, $01001597
$1684C0DB8FE08221, $0300030E
$169A7B4D573A3509, $04001304
$169BB0FFB392ECE4, $01002653
$169BE4EB53E46A02, $010009B8
$169C2C673BD024E6, $02001F41
$16A838637CC6ABB4, $010026E3
$16B760D4548FE3DF, $02002884
$16BE8E394C9259AB, $010005AF
$16CAC317AB6F1668, $01001B87
$16CB289B51C468BE, $0300139F
$16DA13729E1DBE12, $0100139C
$16DB8DB3C3972572, $020013D2
$16E3A98888795D1F, $010023D0
$16EA12F753E1E224, $01002C98
$16F5D04F51EE9C36, $01001262
